Dates,Program,Mission,Artist,Song,Comment,Genre,Style,Year,Discogs Master,Discogs URI
1973-09-19,SKYLAB,SKYLAB 3,Unidentified,The Marines' Hymn,played for Jack Lousma. Jack said Mission Control should be standing at attention.,Brass & Military,,1944.0,,https://www.discogs.com/Continentals-Military-Band-The-Marines-Hymn-The-Rangers/release/12142725
1973-09-20,SKYLAB,SKYLAB 3,Unidentified,Moonlight Becomes You,,Jazz,,2014.0,https://api.discogs.com/masters/1175412,https://www.discogs.com/Eddie-Higgins-Moonlight-Becomes-You-/release/9767002
1973-09-25,SKYLAB,SKYLAB 3,Dean Martin,Houston,"Going Back to Houston (Sic), probably Houston.",Jazz,Vocal,,https://api.discogs.com/masters/1349741,https://www.discogs.com/Dean-Martin-Houston/master/1349741
1973-11-21,SKYLAB,SKYLAB 4,Herb Alpert & Tijuana Brass,The Lonely Bull,,Jazz,Easy Listening,1962.0,https://api.discogs.com/masters/432788,https://www.discogs.com/Herb-Alpert-The-Tijuana-Brass-The-Lonely-Bull/master/432788
1973-11-22,SKYLAB,SKYLAB 4,Unidentified,A Walk In The Black Forest,Symbolic of  the fact that the crew of Skylab 4 will be taking a walk in the blackness of space to repair the control system for an Earth-scanning antenna.,Jazz,Easy Listening,,,https://www.discogs.com/Orchester-Horst-Jankowski-A-Walk-In-The-Black-Forest/release/8013723
1973-11-24,SKYLAB,SKYLAB 4,Legendary Stardust Cowboy,Paralyzed,,Rock,Country Rock,1985.0,https://api.discogs.com/masters/520739,https://www.discogs.com/The-Legendary-Stardust-Cowboy-Paralyzed/release/13559756
1973-12-02,SKYLAB,SKYLAB 4,Julie London,Misty,,Jazz,Easy Listening,,,https://www.discogs.com/Julie-London-Hey-There-Misty/release/10203262
1973-12-03,SKYLAB,SKYLAB 4,Rod McKuen,Selection From The Sea,,Jazz,Spoken Word,1968.0,,https://www.discogs.com/Rod-McKuen-Selections-From-The-Epic-Lp-In-Search-Of-Eros/release/9335369
1973-12-04,SKYLAB,SKYLAB 4,Firehouse Five Plus Two,Muskrat Ramble,,,,,,
1973-12-05,SKYLAB,SKYLAB 4,Unidentified,Unidentified,UNIDENTIFIED,,,,,
1973-12-06,SKYLAB,SKYLAB 4,Unidentified,German Christmas Songs,A message from the people of Germany followed by German Christmas songs. Santa Claus Day in Germany falls on this date.,Classical,,1949.0,https://api.discogs.com/masters/1518074,https://www.discogs.com/Wilhelm-Strienz-German-Christmas-Songs/release/9095557
1973-12-06,SKYLAB,SKYLAB 4,Barbra Streisand,Silent Night,,Classical,,1997.0,,https://www.discogs.com/Barbra-Streisand-Silent-Night/release/10939071
1973-12-07,SKYLAB,SKYLAB 4,Julie London,The Party's Over,,,,,,
1973-12-10,SKYLAB,SKYLAB 4,Herb Alpert & Tijuana Brass,The Lonely Bull,,Jazz,Easy Listening,1962.0,https://api.discogs.com/masters/432788,https://www.discogs.com/Herb-Alpert-The-Tijuana-Brass-The-Lonely-Bull/master/432788
1973-12-11,SKYLAB,SKYLAB 4,Chet Atkins,Peanut Vendor,,"Folk, World, & Country",Country,1957.0,https://api.discogs.com/masters/1056657,https://www.discogs.com/The-Rhythm-Rockers-Featuring-Chet-Atkins-Tricky-Peanut-Vendor/release/12656748
1973-12-13,SKYLAB,SKYLAB 4,Three Dog Night,Eli's Coming,,Rock,Pop Rock,1969.0,https://api.discogs.com/masters/266017,https://www.discogs.com/Three-Dog-Night-Elis-Coming/release/12614151
1973-12-14,SKYLAB,SKYLAB 4,Burl Ives,Blue Tail Fly,,"Folk, World, & Country",,,https://api.discogs.com/masters/410812,https://www.discogs.com/Burl-Ives-Blue-Tail-Fly/release/14033790
